,State,Year,Quarter,District,RegisteredUser,AppOpens
2997,Chhattisgarh,2022,3,kondagaon district,86322,19375824
2998,Chhattisgarh,2022,3,mahasamund district,205270,24180061
2999,Chhattisgarh,2022,4,dhamtari district,159411,7228454
3000,Chhattisgarh,2022,4,korba district,368179,22261392
3001,Chhattisgarh,2022,4,surajpur district,148130,8325549
3002,Chhattisgarh,2022,4,baloda bazar district,271259,13745650
3003,Chhattisgarh,2022,4,sukma district,46232,2281717
3004,Chhattisgarh,2022,4,raigarh district,468010,26415867
3005,Chhattisgarh,2022,4,janjgir champa district,455430,23396478
3006,Chhattisgarh,2022,4,jashpur district,151323,8436769
3007,Chhattisgarh,2022,4,balod district,160952,7717813
3008,Chhattisgarh,2022,4,kabirdham district,147742,7874615
3009,Chhattisgarh,2022,4,surguja district,226706,13099334
3010,Chhattisgarh,2022,4,dantewada district,66503,2982279
3011,Chhattisgarh,2022,4,gariyaband district,94815,4520547
3012,Chhattisgarh,2022,4,durg district,740173,34025608
3013,Chhattisgarh,2022,4,rajnandgaon district,304353,15822878
3014,Chhattisgarh,2022,4,raipur district,1205632,59719682
3015,Chhattisgarh,2022,4,narayanpur district,26527,1317409
3016,Chhattisgarh,2022,4,kanker district,154332,7405374
3017,Chhattisgarh,2022,4,korea district,147963,7529926
3018,Chhattisgarh,2022,4,mungeli district,106916,5380234
3019,Chhattisgarh,2022,4,bilaspur district,622644,32396787
3020,Chhattisgarh,2022,4,balrampur district,115804,7495009
3021,Chhattisgarh,2022,4,bijapur district,54230,2631460
3022,Chhattisgarh,2022,4,bemetara district,136066,6614939
3023,Chhattisgarh,2022,4,bastar district,164690,9294343
3024,Chhattisgarh,2022,4,kondagaon district,89611,5134236
3025,Chhattisgarh,2022,4,mahasamund district,213189,11922465
3026,Chhattisgarh,2023,1,dhamtari district,166518,16265570
3027,Chhattisgarh,2023,1,korba district,384883,41420804
3028,Chhattisgarh,2023,1,surajpur district,154951,24819830
3029,Chhattisgarh,2023,1,baloda bazar district,283757,28724859
3030,Chhattisgarh,2023,1,sukma district,48459,8218775
3031,Chhattisgarh,2023,1,raigarh district,489890,39505661
3032,Chhattisgarh,2023,1,janjgir champa district,476533,19351922
3033,Chhattisgarh,2023,1,jashpur district,158413,36166820
3034,Chhattisgarh,2023,1,balod district,168030,17836497
3035,Chhattisgarh,2023,1,kabirdham district,154630,19575041
3036,Chhattisgarh,2023,1,surguja district,237340,29026056
3037,Chhattisgarh,2023,1,dantewada district,69509,7095008
3038,Chhattisgarh,2023,1,gariyaband district,99065,15884449
3039,Chhattisgarh,2023,1,durg district,773280,18019736
3040,Chhattisgarh,2023,1,rajnandgaon district,317976,43569296
3041,Chhattisgarh,2023,1,raipur district,1260366,44958888
3042,Chhattisgarh,2023,1,narayanpur district,27764,7805245
3043,Chhattisgarh,2023,1,kanker district,161542,37735279
3044,Chhattisgarh,2023,1,korea district,154793,25572535
3045,Chhattisgarh,2023,1,mungeli district,111884,11229608
3046,Chhattisgarh,2023,1,bilaspur district,651084,34174722
3047,Chhattisgarh,2023,1,balrampur district,121253,43025749
3048,Chhattisgarh,2023,1,bijapur district,56723,9955085
3049,Chhattisgarh,2023,1,bemetara district,142329,19561616
3050,Chhattisgarh,2023,1,bastar district,172235,24393291
3051,Chhattisgarh,2023,1,kondagaon district,93464,27373044
3052,Chhattisgarh,2023,1,mahasamund district,222989,27533045
3053,Chhattisgarh,2023,2,dhamtari district,173844,19250064
3054,Chhattisgarh,2023,2,korba district,401398,40545768
3055,Chhattisgarh,2023,2,surajpur district,162267,27034784
3056,Chhattisgarh,2023,2,baloda bazar district,296661,32336642
3057,Chhattisgarh,2023,2,sukma district,50690,9649561
3058,Chhattisgarh,2023,2,raigarh district,511511,42756018
3059,Chhattisgarh,2023,2,janjgir champa district,497925,20831012
3060,Chhattisgarh,2023,2,jashpur district,166222,45721536
3061,Chhattisgarh,2023,2,balod district,175570,19306680
3062,Chhattisgarh,2023,2,kabirdham district,161970,24406694
3063,Chhattisgarh,2023,2,surguja district,248004,37924511
3064,Chhattisgarh,2023,2,dantewada district,72600,9882841
3065,Chhattisgarh,2023,2,gariyaband district,103917,18146706
3066,Chhattisgarh,2023,2,durg district,803101,16283948
3067,Chhattisgarh,2023,2,rajnandgaon district,332345,45626683
3068,Chhattisgarh,2023,2,raipur district,1308762,47360752
3069,Chhattisgarh,2023,2,narayanpur district,29067,7669787
3070,Chhattisgarh,2023,2,kanker district,169234,34940544
3071,Chhattisgarh,2023,2,korea district,161824,28631465
3072,Chhattisgarh,2023,2,mungeli district,117278,12052105
3073,Chhattisgarh,2023,2,bilaspur district,677776,36174150
3074,Chhattisgarh,2023,2,balrampur district,127318,54840444
3075,Chhattisgarh,2023,2,bijapur district,59368,11978542
3076,Chhattisgarh,2023,2,bemetara district,149164,18263794
3077,Chhattisgarh,2023,2,bastar district,179858,26584711
3078,Chhattisgarh,2023,2,kondagaon district,98296,27888782
3079,Chhattisgarh,2023,2,mahasamund district,233538,33023181
3080,Dadra and Nagar Haveli and Daman and Diu,2018,1,diu district,2553,0
3081,Dadra and Nagar Haveli and Daman and Diu,2018,1,daman district,18677,0
3082,Dadra and Nagar Haveli and Daman and Diu,2018,1,dadra and nagar haveli district,32028,0
3083,Dadra and Nagar Haveli and Daman and Diu,2018,2,diu district,3229,0
3084,Dadra and Nagar Haveli and Daman and Diu,2018,2,daman district,25144,0
3085,Dadra and Nagar Haveli and Daman and Diu,2018,2,dadra and nagar haveli district,43085,0
3086,Dadra and Nagar Haveli and Daman and Diu,2018,3,diu district,3830,0
3087,Dadra and Nagar Haveli and Daman and Diu,2018,3,daman district,32651,0
3088,Dadra and Nagar Haveli and Daman and Diu,2018,3,dadra and nagar haveli district,55626,0
3089,Dadra and Nagar Haveli and Daman and Diu,2018,4,diu district,4609,0
3090,Dadra and Nagar Haveli and Daman and Diu,2018,4,daman district,42069,0
3091,Dadra and Nagar Haveli and Daman and Diu,2018,4,dadra and nagar haveli district,69833,0
3092,Dadra and Nagar Haveli and Daman and Diu,2019,1,diu district,5452,0
3093,Dadra and Nagar Haveli and Daman and Diu,2019,1,daman district,51093,0
3094,Dadra and Nagar Haveli and Daman and Diu,2019,1,dadra and nagar haveli district,83987,0
3095,Dadra and Nagar Haveli and Daman and Diu,2019,2,diu district,6193,22979
3096,Dadra and Nagar Haveli and Daman and Diu,2019,2,daman district,58005,323345
3097,Dadra and Nagar Haveli and Daman and Diu,2019,2,dadra and nagar haveli district,94382,514362
3098,Dadra and Nagar Haveli and Daman and Diu,2019,3,diu district,6746,73017
3099,Dadra and Nagar Haveli and Daman and Diu,2019,3,daman district,64854,1168620
3100,Dadra and Nagar Haveli and Daman and Diu,2019,3,dadra and nagar haveli district,105329,1884552
3101,Dadra and Nagar Haveli and Daman and Diu,2019,4,diu district,7323,91107
3102,Dadra and Nagar Haveli and Daman and Diu,2019,4,daman district,72470,1415107
3103,Dadra and Nagar Haveli and Daman and Diu,2019,4,dadra and nagar haveli district,117805,2264329
3104,Dadra and Nagar Haveli and Daman and Diu,2020,1,diu district,7912,98466
3105,Dadra and Nagar Haveli and Daman and Diu,2020,1,daman district,80329,1550484
3106,Dadra and Nagar Haveli and Daman and Diu,2020,1,dadra and nagar haveli district,130255,2546172
3107,Dadra and Nagar Haveli and Daman and Diu,2020,2,diu district,8795,90682
3108,Dadra and Nagar Haveli and Daman and Diu,2020,2,daman district,90016,1640768
3109,Dadra and Nagar Haveli and Daman and Diu,2020,2,dadra and nagar haveli district,146003,2773677
3110,Dadra and Nagar Haveli and Daman and Diu,2020,3,diu district,9655,102606
3111,Dadra and Nagar Haveli and Daman and Diu,2020,3,daman district,98108,1480490
3112,Dadra and Nagar Haveli and Daman and Diu,2020,3,dadra and nagar haveli district,160183,2838403
3113,Dadra and Nagar Haveli and Daman and Diu,2020,4,diu district,10550,147153
3114,Dadra and Nagar Haveli and Daman and Diu,2020,4,daman district,108511,2123263
3115,Dadra and Nagar Haveli and Daman and Diu,2020,4,dadra and nagar haveli district,177432,3926020
3116,Dadra and Nagar Haveli and Daman and Diu,2021,1,diu district,11406,156639
3117,Dadra and Nagar Haveli and Daman and Diu,2021,1,daman district,117728,2573284
3118,Dadra and Nagar Haveli and Daman and Diu,2021,1,dadra and nagar haveli district,192262,4572539
3119,Dadra and Nagar Haveli and Daman and Diu,2021,2,diu district,12220,117626
3120,Dadra and Nagar Haveli and Daman and Diu,2021,2,daman district,126258,1622978
3121,Dadra and Nagar Haveli and Daman and Diu,2021,2,dadra and nagar haveli district,206516,3322379
3122,Dadra and Nagar Haveli and Daman and Diu,2021,3,diu district,13167,181641
3123,Dadra and Nagar Haveli and Daman and Diu,2021,3,daman district,135976,2278101
3124,Dadra and Nagar Haveli and Daman and Diu,2021,3,dadra and nagar haveli district,222731,4702992
3125,Dadra and Nagar Haveli and Daman and Diu,2021,4,diu district,14047,295151
3126,Dadra and Nagar Haveli and Daman and Diu,2021,4,daman district,145806,5114006
3127,Dadra and Nagar Haveli and Daman and Diu,2021,4,dadra and nagar haveli district,239110,9600298
3128,Dadra and Nagar Haveli and Daman and Diu,2022,1,diu district,14964,143766
3129,Dadra and Nagar Haveli and Daman and Diu,2022,1,daman district,155029,799218
3130,Dadra and Nagar Haveli and Daman and Diu,2022,1,dadra and nagar haveli district,254577,2967808
3131,Dadra and Nagar Haveli and Daman and Diu,2022,2,diu district,15811,229397
3132,Dadra and Nagar Haveli and Daman and Diu,2022,2,daman district,163861,633374
3133,Dadra and Nagar Haveli and Daman and Diu,2022,2,dadra and nagar haveli district,269344,3023521
3134,Dadra and Nagar Haveli and Daman and Diu,2022,3,diu district,16665,180045
3135,Dadra and Nagar Haveli and Daman and Diu,2022,3,daman district,173219,567477
3136,Dadra and Nagar Haveli and Daman and Diu,2022,3,dadra and nagar haveli district,284923,3090359
3137,Dadra and Nagar Haveli and Daman and Diu,2022,4,diu district,17427,445207
3138,Dadra and Nagar Haveli and Daman and Diu,2022,4,daman district,182481,7951596
3139,Dadra and Nagar Haveli and Daman and Diu,2022,4,dadra and nagar haveli district,300217,15669967
3140,Dadra and Nagar Haveli and Daman and Diu,2023,1,diu district,18234,246909
3141,Dadra and Nagar Haveli and Daman and Diu,2023,1,daman district,191432,522235
3142,Dadra and Nagar Haveli and Daman and Diu,2023,1,dadra and nagar haveli district,314951,3702140
3143,Dadra and Nagar Haveli and Daman and Diu,2023,2,diu district,18972,160624
3144,Dadra and Nagar Haveli and Daman and Diu,2023,2,daman district,199267,555514
3145,Dadra and Nagar Haveli and Daman and Diu,2023,2,dadra and nagar haveli district,328125,3369887
3146,Delhi,2018,1,south district,156706,0
3147,Delhi,2018,1,central district,202723,0
3148,Delhi,2018,1,new delhi district,212008,0
3149,Delhi,2018,1,west district,308558,0
3150,Delhi,2018,1,south west district,179197,0
3151,Delhi,2018,1,south east delhi district,251213,0
3152,Delhi,2018,1,shahdara district,114549,0
3153,Delhi,2018,1,north east district,95472,0
3154,Delhi,2018,1,east district,169295,0
3155,Delhi,2018,1,north west district,223679,0
3156,Delhi,2018,1,north district,173622,0
3157,Delhi,2018,2,south district,206935,0
3158,Delhi,2018,2,central district,267154,0
3159,Delhi,2018,2,new delhi district,282319,0
3160,Delhi,2018,2,west district,406877,0
3161,Delhi,2018,2,south west district,236789,0
3162,Delhi,2018,2,south east delhi district,333350,0
3163,Delhi,2018,2,shahdara district,152113,0
3164,Delhi,2018,2,north east district,127159,0
3165,Delhi,2018,2,east district,221449,0
3166,Delhi,2018,2,north west district,294038,0
3167,Delhi,2018,2,north district,227958,0
3168,Delhi,2018,3,south district,264628,0
3169,Delhi,2018,3,central district,340549,0
3170,Delhi,2018,3,new delhi district,363140,0
3171,Delhi,2018,3,west district,515854,0
3172,Delhi,2018,3,south west district,297663,0
3173,Delhi,2018,3,south east delhi district,423177,0
3174,Delhi,2018,3,shahdara district,192430,0
3175,Delhi,2018,3,north east district,159566,0
3176,Delhi,2018,3,east district,280847,0
3177,Delhi,2018,3,north west district,376806,0
3178,Delhi,2018,3,north district,290251,0
3179,Delhi,2018,4,south district,344311,0
3180,Delhi,2018,4,central district,446787,0
3181,Delhi,2018,4,new delhi district,470991,0
3182,Delhi,2018,4,west district,686653,0
3183,Delhi,2018,4,south west district,393208,0
3184,Delhi,2018,4,south east delhi district,564640,0
3185,Delhi,2018,4,shahdara district,257785,0
3186,Delhi,2018,4,north east district,216694,0
3187,Delhi,2018,4,east district,373139,0
3188,Delhi,2018,4,north west district,496928,0
3189,Delhi,2018,4,north district,379177,0
3190,Delhi,2019,1,south district,407519,0
3191,Delhi,2019,1,central district,529918,0
3192,Delhi,2019,1,new delhi district,558516,0
3193,Delhi,2019,1,west district,820526,0
3194,Delhi,2019,1,south west district,467571,0
3195,Delhi,2019,1,south east delhi district,671667,0
3196,Delhi,2019,1,shahdara district,310351,0
3197,Delhi,2019,1,north east district,262131,0
3198,Delhi,2019,1,east district,439639,0
3199,Delhi,2019,1,north west district,583438,0
3200,Delhi,2019,1,north district,447987,0
3201,Delhi,2019,2,south district,453829,3600582
3202,Delhi,2019,2,central district,596940,4621588
3203,Delhi,2019,2,new delhi district,637526,4770362
3204,Delhi,2019,2,west district,919096,6019764
3205,Delhi,2019,2,south west district,519422,3366911
3206,Delhi,2019,2,south east delhi district,749218,5600479
3207,Delhi,2019,2,shahdara district,352312,2162335
3208,Delhi,2019,2,north east district,298037,1839705
3209,Delhi,2019,2,east district,487121,3859544
3210,Delhi,2019,2,north west district,649377,4251847
3211,Delhi,2019,2,north district,502570,3638453
3212,Delhi,2019,3,south district,498200,13735093
3213,Delhi,2019,3,central district,658985,18110411
3214,Delhi,2019,3,new delhi district,705546,17907707
3215,Delhi,2019,3,west district,1008836,22146744
3216,Delhi,2019,3,south west district,567496,12320743
3217,Delhi,2019,3,south east delhi district,821304,21257734
3218,Delhi,2019,3,shahdara district,391827,7812781
3219,Delhi,2019,3,north east district,334361,6815269
3220,Delhi,2019,3,east district,532254,14414183
3221,Delhi,2019,3,north west district,709448,15312330
3222,Delhi,2019,3,north district,554029,13548032
3223,Delhi,2019,4,south district,533716,14624629
3224,Delhi,2019,4,central district,711015,19757936
3225,Delhi,2019,4,new delhi district,757888,19347259
3226,Delhi,2019,4,west district,1081496,22958268
3227,Delhi,2019,4,south west district,605482,12908740
3228,Delhi,2019,4,south east delhi district,883080,22762701
3229,Delhi,2019,4,shahdara district,425305,8243112
3230,Delhi,2019,4,north east district,366088,7378000
3231,Delhi,2019,4,east district,568283,15006362
3232,Delhi,2019,4,north west district,758620,15608488
3233,Delhi,2019,4,north district,598910,14087176
3234,Delhi,2020,1,south district,570329,14596406
3235,Delhi,2020,1,central district,765149,20077306
3236,Delhi,2020,1,new delhi district,810489,19988931
3237,Delhi,2020,1,west district,1160353,23777985
3238,Delhi,2020,1,south west district,644981,13628530
3239,Delhi,2020,1,south east delhi district,947535,23452400
3240,Delhi,2020,1,shahdara district,460186,8525491
3241,Delhi,2020,1,north east district,399504,7741484
3242,Delhi,2020,1,east district,604768,15229722
3243,Delhi,2020,1,north west district,814249,16316454
3244,Delhi,2020,1,north district,648654,14929277
3245,Delhi,2020,2,south district,608062,10923789
3246,Delhi,2020,2,central district,821609,12170177
3247,Delhi,2020,2,new delhi district,858515,13813232
3248,Delhi,2020,2,west district,1243875,19803207
3249,Delhi,2020,2,south west district,688199,13239503
3250,Delhi,2020,2,south east delhi district,1011931,17824740
3251,Delhi,2020,2,shahdara district,498710,7264987
3252,Delhi,2020,2,north east district,437601,8199505
3253,Delhi,2020,2,east district,641233,12112696
3254,Delhi,2020,2,north west district,877218,15252379
3255,Delhi,2020,2,north district,704186,12248038
3256,Delhi,2020,3,south district,651616,13811149
3257,Delhi,2020,3,central district,888536,17811726
3258,Delhi,2020,3,new delhi district,912051,19755770
3259,Delhi,2020,3,west district,1343895,27128183
3260,Delhi,2020,3,south west district,739034,16937109
3261,Delhi,2020,3,south east delhi district,1088989,23898063
3262,Delhi,2020,3,shahdara district,543831,10118652
3263,Delhi,2020,3,north east district,479924,10076533
3264,Delhi,2020,3,east district,685955,15039504
3265,Delhi,2020,3,north west district,946954,19440720
3266,Delhi,2020,3,north district,763389,16007620
3267,Delhi,2020,4,south district,699303,17854518
3268,Delhi,2020,4,central district,962750,25639012
3269,Delhi,2020,4,new delhi district,971715,26150844
3270,Delhi,2020,4,west district,1451042,34210894
3271,Delhi,2020,4,south west district,792331,20471250
3272,Delhi,2020,4,south east delhi district,1174221,31579571
3273,Delhi,2020,4,shahdara district,591192,12836928
3274,Delhi,2020,4,north east district,525117,12410314
3275,Delhi,2020,4,east district,734091,19059130
3276,Delhi,2020,4,north west district,1019187,23345284
3277,Delhi,2020,4,north district,827019,19876007
3278,Delhi,2021,1,south district,749173,20969765
3279,Delhi,2021,1,central district,1035060,31035635
3280,Delhi,2021,1,new delhi district,1039016,31041137
3281,Delhi,2021,1,west district,1559112,38915888
3282,Delhi,2021,1,south west district,849223,22664421
3283,Delhi,2021,1,south east delhi district,1260645,37073920
3284,Delhi,2021,1,shahdara district,636908,14514305
3285,Delhi,2021,1,north east district,567107,13760602
3286,Delhi,2021,1,east district,786308,21924687
3287,Delhi,2021,1,north west district,1094464,26122744
3288,Delhi,2021,1,north district,890194,23178496
3289,Delhi,2021,2,south district,799590,12452858
3290,Delhi,2021,2,central district,1105640,16081193
3291,Delhi,2021,2,new delhi district,1108471,16849531
3292,Delhi,2021,2,west district,1666267,23164797
3293,Delhi,2021,2,south west district,906878,14495551
3294,Delhi,2021,2,south east delhi district,1346063,20866055
3295,Delhi,2021,2,shahdara district,681073,8634338
3296,Delhi,2021,2,north east district,607021,9159772
3297,Delhi,2021,2,east district,839185,12706259
3298,Delhi,2021,2,north west district,1170137,16390828
3299,Delhi,2021,2,north district,952374,14196592
3300,Delhi,2021,3,south district,855177,16742627
3301,Delhi,2021,3,central district,1184217,24898251
3302,Delhi,2021,3,new delhi district,1185588,24104453
3303,Delhi,2021,3,west district,1785309,31060472
3304,Delhi,2021,3,south west district,971552,18051807
3305,Delhi,2021,3,south east delhi district,1441462,29182451
3306,Delhi,2021,3,shahdara district,730209,11815518
3307,Delhi,2021,3,north east district,651695,11448245
3308,Delhi,2021,3,east district,898137,16541558
3309,Delhi,2021,3,north west district,1254464,21044731
3310,Delhi,2021,3,north district,1022251,18954263
3311,Delhi,2021,4,south district,911399,25318053
3312,Delhi,2021,4,central district,1263911,39285773
3313,Delhi,2021,4,new delhi district,1263818,40877291
3314,Delhi,2021,4,west district,1905278,45912758
3315,Delhi,2021,4,south west district,1036466,26351151
3316,Delhi,2021,4,south east delhi district,1537814,45953793
3317,Delhi,2021,4,shahdara district,779798,18226720
3318,Delhi,2021,4,north east district,696743,18668707
3319,Delhi,2021,4,east district,957392,23373406
3320,Delhi,2021,4,north west district,1339480,32390512
3321,Delhi,2021,4,north district,1093028,29311189
3322,Delhi,2022,1,south district,963775,4684890
3323,Delhi,2022,1,central district,1338465,6409314
3324,Delhi,2022,1,new delhi district,1336911,6165616
3325,Delhi,2022,1,west district,2017435,8118532
3326,Delhi,2022,1,south west district,1097016,4590648
3327,Delhi,2022,1,south east delhi district,1628157,7357594
3328,Delhi,2022,1,shahdara district,826148,2924454
3329,Delhi,2022,1,north east district,739301,3042375
3330,Delhi,2022,1,east district,1013024,3852805
3331,Delhi,2022,1,north west district,1419688,5396333
3332,Delhi,2022,1,north district,1159277,4981592
3333,Delhi,2022,2,south district,1013938,4587356
3334,Delhi,2022,2,central district,1409776,5948542
3335,Delhi,2022,2,new delhi district,1406687,5625084
3336,Delhi,2022,2,west district,2124626,7350241
3337,Delhi,2022,2,south west district,1155288,4151379
3338,Delhi,2022,2,south east delhi district,1714507,6702101
3339,Delhi,2022,2,shahdara district,870461,2605709
3340,Delhi,2022,2,north east district,779621,2614033
3341,Delhi,2022,2,east district,1066632,3524812
3342,Delhi,2022,2,north west district,1496002,4758442
3343,Delhi,2022,2,north district,1222605,4685381
3344,Delhi,2022,3,south district,1065631,4638847
3345,Delhi,2022,3,central district,1483786,5742476
3346,Delhi,2022,3,new delhi district,1479669,5253294
3347,Delhi,2022,3,west district,2235907,6992655
3348,Delhi,2022,3,south west district,1215697,3934907
3349,Delhi,2022,3,south east delhi district,1804123,6340232
3350,Delhi,2022,3,shahdara district,917096,2440841
3351,Delhi,2022,3,north east district,822038,2460332
3352,Delhi,2022,3,east district,1121596,3393992
3353,Delhi,2022,3,north west district,1575473,4399466
3354,Delhi,2022,3,north district,1288507,4322456
3355,Delhi,2022,4,south district,1117981,30173803
3356,Delhi,2022,4,central district,1558400,47227767
3357,Delhi,2022,4,new delhi district,1552874,49393657
3358,Delhi,2022,4,west district,2348063,52947462
3359,Delhi,2022,4,south west district,1275864,29437122
3360,Delhi,2022,4,south east delhi district,1894776,53203998
3361,Delhi,2022,4,shahdara district,963656,21436265
3362,Delhi,2022,4,north east district,864990,20440755
3363,Delhi,2022,4,east district,1177294,25719895
3364,Delhi,2022,4,north west district,1655730,36305502
3365,Delhi,2022,4,north district,1354521,35578523
3366,Delhi,2023,1,south district,1167338,4668358
3367,Delhi,2023,1,central district,1629248,6215071
3368,Delhi,2023,1,new delhi district,1622600,5117085
3369,Delhi,2023,1,west district,2453869,7209475
3370,Delhi,2023,1,south west district,1333347,3788785
3371,Delhi,2023,1,south east delhi district,1980915,6467886
3372,Delhi,2023,1,shahdara district,1007880,2584431
3373,Delhi,2023,1,north east district,906036,2613986
3374,Delhi,2023,1,east district,1230290,3461144
3375,Delhi,2023,1,north west district,1731494,4475947
3376,Delhi,2023,1,north district,1416994,4447621
3377,Delhi,2023,2,south district,1209741,4722227
3378,Delhi,2023,2,central district,1690547,6131587
3379,Delhi,2023,2,new delhi district,1682305,5181082
3380,Delhi,2023,2,west district,2546575,7256938
3381,Delhi,2023,2,south west district,1383364,3822184
3382,Delhi,2023,2,south east delhi district,2055408,6504770
3383,Delhi,2023,2,shahdara district,1046614,2559895
3384,Delhi,2023,2,north east district,942089,2658909
3385,Delhi,2023,2,east district,1275831,3522796
3386,Delhi,2023,2,north west district,1798636,4612879
3387,Delhi,2023,2,north district,1471979,4441772
3388,Goa,2018,1,north goa district,57769,0
3389,Goa,2018,1,south goa district,34167,0
3390,Goa,2018,2,north goa district,76192,0
3391,Goa,2018,2,south goa district,45982,0
3392,Goa,2018,3,north goa district,95307,0
3393,Goa,2018,3,south goa district,58495,0
3394,Goa,2018,4,north goa district,121001,0
3395,Goa,2018,4,south goa district,74349,0
3396,Goa,2019,1,north goa district,147802,0
3397,Goa,2019,1,south goa district,90350,0
3398,Goa,2019,2,north goa district,173002,835794
3399,Goa,2019,2,south goa district,105938,516438
3400,Goa,2019,3,north goa district,197361,2920579
3401,Goa,2019,3,south goa district,119833,1833313
3402,Goa,2019,4,north goa district,220385,4020633
3403,Goa,2019,4,south goa district,133161,2269910
3404,Goa,2020,1,north goa district,244309,4665113
3405,Goa,2020,1,south goa district,147591,2482120
3406,Goa,2020,2,north goa district,267533,3107692
3407,Goa,2020,2,south goa district,163106,2202434
3408,Goa,2020,3,north goa district,294195,3452539
3409,Goa,2020,3,south goa district,180767,2677227
3410,Goa,2020,4,north goa district,326479,6920554
3411,Goa,2020,4,south goa district,201105,4070564
3412,Goa,2021,1,north goa district,352593,10384042
3413,Goa,2021,1,south goa district,217442,5083630
3414,Goa,2021,2,north goa district,376703,6869935
3415,Goa,2021,2,south goa district,232403,5840426
3416,Goa,2021,3,north goa district,403952,8991751
3417,Goa,2021,3,south goa district,249506,7583360
3418,Goa,2021,4,north goa district,430814,18057835
3419,Goa,2021,4,south goa district,266364,10230419
3420,Goa,2022,1,north goa district,456250,9699093
3421,Goa,2022,1,south goa district,282378,8979705
3422,Goa,2022,2,north goa district,480353,9824694
3423,Goa,2022,2,south goa district,297426,9237463
3424,Goa,2022,3,north goa district,504946,9634393
3425,Goa,2022,3,south goa district,312884,10078371
3426,Goa,2022,4,north goa district,527826,26805263
3427,Goa,2022,4,south goa district,327376,16199949
3428,Goa,2023,1,north goa district,550554,11867919
3429,Goa,2023,1,south goa district,341631,10962012
3430,Goa,2023,2,north goa district,571111,9966416
3431,Goa,2023,2,south goa district,354909,10253228
3432,Gujarat,2018,1,anand district,68052,0
3433,Gujarat,2018,1,jamnagar district,52416,0
3434,Gujarat,2018,1,devbhumi dwarka district,15809,0
3435,Gujarat,2018,1,rajkot district,133017,0
3436,Gujarat,2018,1,aravallis district,21932,0
3437,Gujarat,2018,1,chhotaudepur district,6581,0
3438,Gujarat,2018,1,botad district,23738,0
3439,Gujarat,2018,1,bharuch district,101575,0
3440,Gujarat,2018,1,bhavnagar district,87683,0
3441,Gujarat,2018,1,junagadh district,35171,0
3442,Gujarat,2018,1,mahesana district,97004,0
3443,Gujarat,2018,1,the dangs district,2285,0
3444,Gujarat,2018,1,kheda district,43776,0
3445,Gujarat,2018,1,surat district,489852,0
3446,Gujarat,2018,1,porbandar district,12401,0
3447,Gujarat,2018,1,gandhinagar district,118201,0
3448,Gujarat,2018,1,panch mahals district,32263,0
3449,Gujarat,2018,1,narmada district,6464,0
3450,Gujarat,2018,1,gir somnath district,28292,0
3451,Gujarat,2018,1,valsad district,80138,0
3452,Gujarat,2018,1,mahisagar district,11048,0
3453,Gujarat,2018,1,sabar kantha district,45018,0
3454,Gujarat,2018,1,tapi district,14231,0
3455,Gujarat,2018,1,vadodara district,205722,0
3456,Gujarat,2018,1,banas kantha district,93506,0
3457,Gujarat,2018,1,amreli district,31443,0
3458,Gujarat,2018,1,ahmadabad district,572811,0
3459,Gujarat,2018,1,dohad district,16212,0
3460,Gujarat,2018,1,navsari district,35437,0
3461,Gujarat,2018,1,patan district,41580,0
3462,Gujarat,2018,1,kachchh district,97838,0
3463,Gujarat,2018,1,surendranagar district,38223,0
3464,Gujarat,2018,1,morbi district,30329,0
3465,Gujarat,2018,2,anand district,90911,0
3466,Gujarat,2018,2,jamnagar district,68512,0
3467,Gujarat,2018,2,devbhumi dwarka district,20804,0
3468,Gujarat,2018,2,rajkot district,174778,0
3469,Gujarat,2018,2,aravallis district,29047,0
3470,Gujarat,2018,2,chhotaudepur district,9053,0
3471,Gujarat,2018,2,botad district,32883,0
3472,Gujarat,2018,2,bharuch district,134500,0
3473,Gujarat,2018,2,bhavnagar district,115812,0
3474,Gujarat,2018,2,junagadh district,46665,0
3475,Gujarat,2018,2,mahesana district,127614,0
3476,Gujarat,2018,2,the dangs district,3047,0
3477,Gujarat,2018,2,kheda district,60097,0
3478,Gujarat,2018,2,surat district,652372,0
3479,Gujarat,2018,2,porbandar district,16137,0
3480,Gujarat,2018,2,gandhinagar district,155539,0
3481,Gujarat,2018,2,panch mahals district,42575,0
3482,Gujarat,2018,2,narmada district,8940,0
3483,Gujarat,2018,2,gir somnath district,37769,0
3484,Gujarat,2018,2,valsad district,107556,0
3485,Gujarat,2018,2,mahisagar district,15010,0
3486,Gujarat,2018,2,sabar kantha district,59955,0
3487,Gujarat,2018,2,tapi district,19255,0
3488,Gujarat,2018,2,vadodara district,271730,0
3489,Gujarat,2018,2,banas kantha district,125849,0
3490,Gujarat,2018,2,amreli district,42021,0
3491,Gujarat,2018,2,ahmadabad district,751746,0
3492,Gujarat,2018,2,dohad district,21983,0
3493,Gujarat,2018,2,navsari district,47911,0
3494,Gujarat,2018,2,patan district,55482,0
3495,Gujarat,2018,2,kachchh district,128064,0
3496,Gujarat,2018,2,surendranagar district,51527,0
3497,Gujarat,2018,2,morbi district,40681,0
3498,Gujarat,2018,3,anand district,116188,0
3499,Gujarat,2018,3,jamnagar district,84886,0
3500,Gujarat,2018,3,devbhumi dwarka district,26394,0
3501,Gujarat,2018,3,rajkot district,215459,0
